VALVULA;NUM_PERIODOS;VOLUMEN_ENTRADA_FINAL_sum;VOLUMEN_ENTRADA_FINAL_mean;VOLUMEN_SALIDA_FINAL_sum;VOLUMEN_SALIDA_FINAL_mean;PERDIDAS_FINAL_sum;PERDIDAS_FINAL_mean;INDICE_PERDIDAS_FINAL_mean
VALVULA_1;4;1466,0123521669148;366,5030880417287;2170,629;542,65725;-704,6166478330852;-176,1541619582713;-48,028511067571785
VALVULA_2;11;22973,9725253792;2088,5429568526542;28154,12;2559,4654545454546;-5180,147474620802;-470,9224976928002;-21,49007292867793
VALVULA_3;5;137155,80763159142;27431,161526318283;157386,4889;31477,29778;-20230,681268408578;-4046,1362536817155;-14,706511273938712
VALVULA_4;12;304519,0876001559;25376,590633346324;384838,425;32069,868749999998;-80319,33739984412;-6693,278116653677;-26,234244768146585
VALVULA_5;13;58542,55333333334;4503,2733333333335;64232,538;4940,964461538461;-5689,984666666664;-437,69112820512805;-9,719399552439514
