VALVULA;NUM_PERIODOS;ENTRADA_SUM;ENTRADA_MEAN;SALIDA_SUM;SALIDA_MEAN;PERDIDAS_SUM;PERDIDAS_MEAN;INDICE_PERDIDAS_MEAN;PERDIDAS_%_SOBRE_ENTRADA;RELACION_SALIDA_ENTRADA;RANK_PERDIDAS_%;RANK_INDICE_PERDIDAS_MEAN;MAE;RMSE;MAPE;MASE;N_TEST
VALVULA_1;4;1466,0123521669148;366,5030880417287;2170,629;542,65725;-704,6166478330852;-176,1541619582713;-48,028511067571785;-48,06348642230677;1,4806348642230678;1,0;1,0;106,21400512695314;112,32032667824836;23,8241323452856;1,453791474499769;2,0
VALVULA_4;12;304519,0876001559;25376,590633346324;384838,425;32069,86875;-80319,33739984412;-6693,278116653677;-26,234244768146585;-26,37579733763888;1,2637579733763886;2,0;2,0;5758,279952734374;6160,970776507315;18,511831142104977;1,3141726821874158;2,0
VALVULA_2;11;22973,9725253792;2088,5429568526542;28154,12;2559,4654545454546;-5180,147474620802;-470,9224976928002;-21,49007292867793;-22,547896185121346;1,2254789618512134;3,0;3,0;323,7433339804687;337,7647722873665;18,04012144066349;1,6807649048380051;2,0
VALVULA_3;5;137155,80763159142;27431,161526318283;157386,4889;31477,29778;-20230,681268408574;-4046,136253681716;-14,706511273938712;-14,750145559092456;1,1475014555909246;4,0;4,0;4448,629140624998;4457,668312138411;15,713376438699536;7,83940849846686;2,0
VALVULA_5;13;58542,55333333334;4503,2733333333335;64232,538;4940,964461538461;-5689,984666666664;-437,69112820512805;-9,719399552439514;-9,719399552439514;1,0971939955243952;5,0;5,0;;;;;
